epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.8974500047508627,0.10232363697141408,0.05878735236202677,0.12536827830597758,0.9862000077962876,0.02309240128612146,0.05216499008238316,0.04354107670485973
1,0.9819833438595136,0.025188983669504523,0.04241027702266971,0.04181381187712153,0.9899000072479248,0.01568699424620718,0.046496850475668906,0.03391375906765461
2,0.9858500108122825,0.01895425916882232,0.03639270943899949,0.03322020085838934,0.9920000058412551,0.013424324458464981,0.042263412065804,0.029991581588983535
3,0.9873500096797944,0.015593415997379149,0.032119016392777366,0.028184070102870464,0.9918000066280365,0.01217613716609776,0.037248271852731704,0.026777459289878607
4,0.9896500087777773,0.013210975898740191,0.02866766491283973,0.02444870021038999,0.9912000060081482,0.010220670745475217,0.03409249376505613,0.023584927972406147
5,0.9914833408594131,0.011163548419523673,0.026695952226097386,0.021628361417291065,0.9933000046014786,0.00828638834238518,0.032475129812955854,0.02101663889363408
6,0.9916000074148178,0.010356726717048636,0.025354729937389492,0.020295780692249535,0.9943000054359437,0.007933250349597075,0.031221635956317186,0.02017213120125234
7,0.9927333401640256,0.009121419436026675,0.023968503658349315,0.018517072660227618,0.9934000056982041,0.007413815618783701,0.029683958757668733,0.01904992723837495
8,0.9938333392143249,0.00806880860880483,0.022775847998758158,0.01699694077173869,0.994100005030632,0.00708889591274783,0.02847793813794851,0.01825224731117487
9,0.9941666720310847,0.007510565188519346,0.021736903010557095,0.01603143092710525,0.9937000054121018,0.007154408433416392,0.026618681121617555,0.017588931107893585
10,0.9949333377679189,0.006835148291429505,0.02077448058252533,0.014978744476102292,0.99480000436306,0.006717737420694902,0.025937879681587218,0.016885386016219854
11,0.9950500047206878,0.006275705532849922,0.0200309270961831,0.01412782873492688,0.9938000047206879,0.005718587931914954,0.024682990293949842,0.015394319770857692
12,0.9956833373506864,0.0055734725901371955,0.019290752078716954,0.013135447185486555,0.9947000044584274,0.00631167399129481,0.024519489631056785,0.015923313633538782
13,0.995950003862381,0.0053464686124546764,0.018773903814144434,0.012705838698117684,0.9954000043869019,0.005021699893877667,0.023655585739761592,0.014294689251109959
14,0.9963000035285949,0.004718707734330868,0.018185466344778738,0.011847410349485775,0.994200005531311,0.005805669382898487,0.023224853556603194,0.01490981173235923
15,0.9969166695078214,0.004338425477059597,0.01779999544688811,0.011316023488373806,0.9960000038146972,0.005205048108982737,0.022717432919889688,0.014110281625762581
16,0.9969833362102508,0.0040019244664775515,0.017387465103529395,0.010817810586498429,0.9945000052452088,0.0058137933393300045,0.02251587077975273,0.014640014530159532
17,0.9971166694164276,0.0037339729842642555,0.017065968094393612,0.010423832317659011,0.9952000039815903,0.005028284968866501,0.021859404323622586,0.01359717129264027
18,0.9972500026226043,0.0035429150734610933,0.016714582960121335,0.010095031426753848,0.9958000034093857,0.004443422170256781,0.021571175837889315,0.0128993228264153
19,0.9974166691303253,0.0032277630992757623,0.01644093553846081,0.009672609661550572,0.9955000042915344,0.004484536607542396,0.021266056038439275,0.012820830340497196
20,0.9977333354949951,0.0029777549192173563,0.01618024050723761,0.00932040904648602,0.995500003695488,0.0045197158766131906,0.021026967391371727,0.012762286867946386
21,0.997716668844223,0.0029001916509878356,0.01599372344246755,0.00916973108270516,0.9958000040054321,0.004391674864914421,0.020737606110051276,0.0125208162330091
22,0.9980333352088928,0.002692672039447643,0.015797184742987157,0.008885168301252027,0.9962000036239624,0.0047270827770989855,0.020550019768998028,0.01278269023168832
23,0.9983000016212463,0.002447713020325561,0.015591009675214687,0.008559388655703515,0.9959000033140183,0.004279285021466421,0.020281245922669767,0.012229533228091895
24,0.9983333349227905,0.0023477898765001254,0.015443210865681371,0.008401528381121655,0.9954000037908554,0.004563949401494937,0.020274967970326543,0.012511736750602721
25,0.9986166679859161,0.002197967628344486,0.015282597366409996,0.008188745623920113,0.9960000038146972,0.003925308378529735,0.019927848884835838,0.011737024947069585
